from,label,original_label,original_text,,
故意岔开话题,2,109,手机好卡,2,
IDClassifier,1,,别打给我,1,
IDClassifier,0,,对我认识你么,0,
IDClassifier,0,,嗯嗯在和客户谈工作有时间在打给你,104,
IDClassifier,1,,我姓XX,1,
故意岔开话题,2,109,不要再骚扰我了，不然我报警了,1,
故意岔开话题,2,109,我是最帅的,2,
请求等下打来,2,104,我在开会,2,
IDClassifier,0,,不要打过来了,1,
故意岔开话题,2,109,我后来才晓得你们是高利贷,2,
IDClassifier,1,,你们经常打我电话我收到骚扰，我要投诉你们,1,
故意岔开话题,2,109,你是不是找错人了,1,
说出目的,2,101,什么事,2,
IDClassifier,1,,你是不是有病,1,
IDClassifier,1,,上厕所去了,104,
IDClassifier,1,,我是你姥姥。,1,
请求等下打来,2,104,我在开会哈～,2,
请求等下打来,2,104,等等就处理,-1,
IDClassifier,0,,我在忙,104,
IDClassifier,0,,我在上班下班再说,104,
IDClassifier,1,,你谁啊，错了,1,
IDClassifier,1,,我应该认识他吗,1,
故意岔开话题,2,109,失去后才明白当初该好好珍惜她,2,
IDClassifier,1,,再见,1,
IDClassifier,0,,有啥子事情，赶紧说,101,
故意岔开话题,2,109,就是死,2,
说出目的,2,101,怎么了？,2,
IDClassifier,1,,号码用了很久了我姓某你去查，然后不接,1,
IDClassifier,1,,别打我电话,1,
IDClassifier,0,,工作不能用手机，稍后联系,104,
说出目的,2,101,我等到花儿都谢了，才等到你们的电话啊,0,
故意岔开话题,2,109,不要打我电话,1,
IDClassifier,0,,说嘛,101,
故意岔开话题,2,109,开车,104,
IDClassifier,1,,到月底行不行,-1,
故意岔开话题,2,109,打错了,1,
IDClassifier,0,,干嘛？有什么事说，我很忙。,0,
IDClassifier,1,,你说啥子哦,103,
IDClassifier,1,,是你妹,1,
请求等下打来,2,104,我在开会,2,
说出目的,2,101,你说是就是，有什么事快说,2,
IDClassifier,1,,是同学,1,
IDClassifier,0,,打我电话干什么,101,
IDClassifier,1,,不晓得你说的哪个,1,
IDClassifier,0,,我后来才晓得你们是高利贷,109,
故意岔开话题,2,109,今生无缘，来世再见,2,
故意岔开话题,2,109,明年说,-1,
IDClassifier,0,,什么事呢,101,
IDClassifier,1,,一会我转告给她,1,
IDClassifier,1,,以后不要骚扰不认识,1,
IDClassifier,1,,不认识,1,
说出目的,2,101,他正好不在，找他么子个事情？,2,
IDClassifier,0,,我在开会稍后联系。,104,
故意岔开话题,2,109,我不买房,2,
说出目的,2,101,什么事情？他现在不在，要不要我转告他？,2,
故意岔开话题,2,109,不关我的事,1,
IDClassifier,0,,已经有人联系过我了,0,
故意岔开话题,2,109,可以不还吗,-1,
IDClassifier,0,,说哈,101,
故意岔开话题,2,109,你找我没用啊,1,
故意岔开话题,2,109,别打我电话,1,
IDClassifier,1,,不认识,1,
说出目的,2,101,有什么事吗，说,2,
故意岔开话题,2,109,后年再说,-1,
IDClassifier,1,,俺不认识,1,
故意岔开话题,2,109,我是你姥姥。,1,
IDClassifier,1,,别人的手机,1,
IDClassifier,0,,有什么事？,101,
IDClassifier,1,,可能是我在做梦吧,1,
IDClassifier,0,,你们打暴我通信录,0,
IDClassifier,0,,在路上,104,
故意岔开话题,2,109,能不能不要打我电话骚扰我，他管我什么事,1,
IDClassifier,1,,不认识,1,
请求等下打来,2,104,我在上班,2,
请求等下打来,2,104,我在忙,2,
IDClassifier,0,,接过好多这样的电话,1,
IDClassifier,0,,你是来要钱的吗,0,
IDClassifier,0,,少来烦我，有病啊,1,
请求等下打来,2,104,我在外地,2,
说出目的,2,101,他去外地了，找他什么事情？,2,
IDClassifier,0,,不要骚扰我,1,
IDClassifier,1,,晓不得,1,
IDClassifier,0,,似的似的,0,
IDClassifier,1,,手机号码刚刚办的,1,
IDClassifier,0,,我是，现在不方便接电话，晚点再说,104,
IDClassifier,1,,你们是不是有病,1,
IDClassifier,1,,他本人不在我帮你问一下吧,1,
回问身份,2,107,你拉个？请说四川话,2,
IDClassifier,0,,我在上班，等会联系,104,
回问身份,2,107,你是哪位,2,
请求重复,2,103,找我干嘛,0,
说出目的,2,101,有什么事么,2,
IDClassifier,0,,啊我不认识你你要干什么,0,
故意岔开话题,2,109,出去了,1,
请求等下打来,2,104,我正在开车,2,
故意岔开话题,2,109,有好处就是,2,
故意岔开话题,2,109,到那天天不处理后果自负。,2,
说出目的,2,101,他不在，你找他什么事情？,2,
故意岔开话题,2,109,你后天处理吗,2,
说出目的,2,101,有问题吗,2,
